disease,auc_roc,f1,precision,recall,n_present,n_absent,severity_accuracy
enlarged cardiomediastinum,0.8966,0.518,0.9033,0.3631,1801,5475,0.1277
cardiomegaly,0.9206,0.5779,0.8882,0.4282,1651,4443,0.132
atelectasis,0.9152,0.8405,0.9298,0.7668,3697,2133,0.0728
consolidation,0.9459,0.8893,0.9296,0.8522,5719,3626,0.093
lung edema,0.9769,0.853,0.9712,0.7605,664,1016,0.0527
fracture,0.8696,0.1777,0.8478,0.0992,393,688,0.1069
lung lesion,0.8934,0.7754,0.9117,0.6745,3137,3206,0.1871
pleural effusion,0.9437,0.8619,0.9093,0.8191,4589,4064,0.1175
pneumonia,0.961,0.7328,0.9535,0.5951,931,1791,0.0161
pneumothorax,0.8584,0.3625,0.8484,0.2305,3349,6055,0.221
support device,0.6284,0.9995,0.9989,1.0,19014,20,0.9998
lung opacity,0.9196,0.9128,0.9554,0.8738,14334,3420,0.0787
pleural other,0.9012,0.4866,0.9685,0.325,1514,1661,0.0713
